,blank,enzyme,Arachadonic_Acid_0.5µl,Arachadonic_Acid_1.0µl,Arachadonic_Acid_1.5µl,Arachadonic_Acid_2.0µl,Arachadonic_Acid_2.5µl,Arachadonic_Acid_3.0µl,Arachadonic_Acid_3.5µl,Arachadonic_Acid_4.0µl,Arachadonic_Acid_4.5µl,Arachadonic_Acid_5.0µl,Arachadonic_Acid_6.0µl,Arachadonic_Acid_7.0µl,Arachadonic_Acid_8.0µl,Arachadonic_Acid_9.0µl,Arachadonic_Acid_10.0µl
800,-0.0011736874,0.007053112611,0.010610175320000002,0.006485980935,0.008664918132,0.007005389314,0.012815874070000002,0.013532906769999999,0.01261286996,0.01179246325,0.01225320715,0.008319511078,0.01727821678,0.023293245580000004,0.014364905659999996,0.01514357515,0.02037685178
799,-0.001497765072,0.008085762151,0.01180121396,0.007003021892,0.010159173050000001,0.011969991029999998,0.01440769155,0.01675625704,0.0175617896,0.0117688179,0.009903086349,0.0060944692229999995,0.01784328371,0.021869065240000003,0.01349939313,0.022102454680000005,0.01814198866
798,-0.00039675415610000004,0.009304532781,0.009330874309,0.008334103972,0.01161684282,0.010710720900000002,0.011266345159999998,0.01508439519,0.0132526448,0.01196717098,0.02140788175,0.01173251402,0.020143546159999998,0.0249022115,0.0145706581,0.024477370079999998,0.02553883754
797,0.0008994067321,0.009598055854,0.01237882394,0.015163223259999999,0.01131831203,0.01182597876,0.01754869148,0.01682411507,0.017960976809999998,0.01226090267,0.01592181809,0.012166332450000001,0.0237238463,0.021200306710000002,0.01822167076,0.01573968679,0.028930353
796,-0.003192916978,0.009419404902,0.007388376165,0.008744888008,0.007870722561999999,0.010068821720000001,0.01593062468,0.015108623540000001,0.01062582619,0.01151406672,0.014154275880000003,0.007829972543,0.01637113281,0.01929843985,0.013672757890000001,0.018772047009999997,0.02033358254
795,0.001204823609,0.0077050849800000005,0.009178427048,0.0076131355020000015,0.008961444721,0.010452665390000001,0.01424976066,0.014401563440000001,0.01645745337,0.010521163229999998,0.01411028486,0.012328354640000002,0.01899233833,0.019401259719999998,0.01706118882,0.01669728756,0.022718129680000004
794,0.0025345247699999998,0.009320744313,0.010382322590000001,0.008163304068,0.011788181029999999,0.01115717087,0.01634282805,0.0173369702,0.01651553065,0.01295386814,0.01361810509,0.022585289550000002,0.0194137115,0.01981912926,0.0214448683,0.01940147765,0.029420094560000002
793,-0.0007476676255,0.008733714931,0.01105718594,0.01004058123,0.01115170028,0.009751523845,0.014292882759999999,0.015275499780000003,0.015391802419999996,0.010887037959999998,0.013457284309999998,0.0141896056,0.0194291696,0.02224389464,0.01570111886,0.017262648789999998,0.022569119930000003
792,0.0002711883863,0.009559207596,0.009811464697,0.009602661245,0.01130858716,0.0102755446,0.01622065529,0.01777507737,0.01325379312,0.013518272900000001,0.01253167912,0.015473020259999996,0.02195776626,0.015705117959999997,0.017452370380000002,0.02017435059,0.023230513560000002
791,-0.000889720628,0.009113339707,0.01515539642,0.01011192892,0.01201038621,0.014274023469999998,0.016960185019999997,0.02051431127,0.01055168919,0.01366025675,0.01648630388,0.01495207194,0.02021255903,0.0191248972,0.01805587113,0.023473735899999997,0.02581829764
