blank,,bm3,,dmso_1.0,,dmso_2.0,,Palmitic_acid_0.2,,Palmitic_acid_0.4,,Palmitic_acid_0.6,,Palmitic_acid_0.8,,Palmitic_acid_1.0,,Palmitic_acid_2.0,,Palmitic_acid_3.0,,Palmitic_acid_4.0,,Palmitic_acid_5.0,,Palmitic_acid_6.0,,Palmitic_acid_7.0,,Palmitic_acid_8.0,,Palmitic_acid_9.0,,Palmitic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,0.00438263407,790.9775391,0.005767442286,790.9775391,0.005584250204,790.9775391,0.006812339649,790.9775391,0.007025567349,790.9775391,0.003951241262,790.9775391,0.006228715181,790.9775391,0.006797667127,790.9775391,0.007755546831,790.9775391,0.01645613648,790.9775391,0.02522150613,790.9775391,0.02191542648,790.9775391,0.02446575835,790.9775391,0.03005112335,790.9775391,0.03765635565,790.9775391,0.04249855131,790.9775391,0.04531536624,790.9775391,0.05633188412,
790.0009155,0.0003197058104,790.0009155,-0.00489038555,790.0009155,0.00147307734,790.0009155,0.008112056181,790.0009155,0.0008348737611,790.0009155,0.006211488973,790.0009155,0.002642776119,790.0009155,0.005484779365,790.0009155,0.01182315871,790.0009155,0.01394620724,790.0009155,0.02084649913,790.0009155,0.01804996282,790.0009155,0.0238031093,790.0009155,0.03507074341,790.0009155,0.04025566205,790.0009155,0.03946013749,790.0009155,0.04443103448,790.0009155,0.05117459223,
789.0239258,0.002888700925,789.0239258,0.003410736099,789.0239258,0.001366389566,789.0239258,0.01223765779,789.0239258,0.006157267839,789.0239258,0.007003205828,789.0239258,0.01048292127,789.0239258,0.006372695789,789.0239258,0.005969029851,789.0239258,0.01310636569,789.0239258,0.02331094444,789.0239258,0.01915173233,789.0239258,0.02434114181,789.0239258,0.03860141709,789.0239258,0.03735535219,789.0239258,0.04183049127,789.0239258,0.04577061906,789.0239258,0.04844412953,
788.0465698,-0.001950212405,788.0465698,-0.001926709549,788.0465698,-0.0001734531106,788.0465698,0.006860936061,788.0465698,0.0001710363867,788.0465698,0.003027772531,788.0465698,0.004879976157,788.0465698,0.004200338852,788.0465698,0.005928484257,788.0465698,0.0158522483,788.0465698,0.02006554417,788.0465698,0.01542173419,788.0465698,0.02351453155,788.0465698,0.03103277832,788.0465698,0.03454737365,788.0465698,0.0388391614,788.0465698,0.0419135578,788.0465698,0.04826239124,
787.0688477,0.002191694453,787.0688477,0.005585849751,787.0688477,0.00439011259,787.0688477,0.01038905699,787.0688477,0.00512473518,787.0688477,0.003203317523,787.0688477,0.00787288323,787.0688477,0.007828680798,787.0688477,0.0115903616,787.0688477,0.01711568609,787.0688477,0.02183813974,787.0688477,0.02013305388,787.0688477,0.02957239002,787.0688477,0.03562430292,787.0688477,0.04154760018,787.0688477,0.04097671434,787.0688477,0.04779362679,787.0688477,0.04811140895,
785.9509888,0.00191262248,785.9509888,0.002194218105,785.9509888,0.002736596623,785.9509888,0.009336004965,785.9509888,0.004041921813,785.9509888,0.005571953021,785.9509888,0.009089046158,785.9509888,0.009503482841,785.9509888,0.01092077512,785.9509888,0.01727468893,785.9509888,0.02210672945,785.9509888,0.01958468929,785.9509888,0.02274949849,785.9509888,0.03626934439,785.9509888,0.03888765723,785.9509888,0.04098160937,785.9509888,0.04636722803,785.9509888,0.0515547581,
784.9724731,0.004750071559,784.9724731,0.00295450422,784.9724731,0.002758374671,784.9724731,0.01471925247,784.9724731,0.006504348014,784.9724731,0.007449756376,784.9724731,0.005503025372,784.9724731,0.008435205556,784.9724731,0.01336349454,784.9724731,0.01812549867,784.9724731,0.02290143818,784.9724731,0.02310087346,784.9724731,0.02969931997,784.9724731,0.03524423763,784.9724731,0.03928520903,784.9724731,0.04115027934,784.9724731,0.03872648627,784.9724731,0.05092976615,
783.9935303,-0.0003883746685,783.9935303,-0.002503862604,783.9935303,-0.0003863056481,783.9935303,0.007994602434,783.9935303,0.00535356719,783.9935303,0.009214808233,783.9935303,0.00472855987,783.9935303,0.005907150451,783.9935303,0.007435430773,783.9935303,0.01797967404,783.9935303,0.01921279542,783.9935303,0.01821951196,783.9935303,0.02391706966,783.9935303,0.03310696036,783.9935303,0.0399371013,783.9935303,0.0409492366,783.9935303,0.04430878162,783.9935303,0.04805155471,
783.0142822,0.0005847433349,783.0142822,0.004246813711,783.0142822,0.003141778754,783.0142822,0.005024217069,783.0142822,0.005888703745,783.0142822,0.004513945896,783.0142822,0.006280581467,783.0142822,0.008439692669,783.0142822,0.01132442243,783.0142822,0.01547197439,783.0142822,0.01991949975,783.0142822,0.02144391648,783.0142822,0.02413005196,783.0142822,0.03207319975,783.0142822,0.04024464265,783.0142822,0.04393814132,783.0142822,0.04670633748,783.0142822,0.04729479924,
782.034668,-0.001248444314,782.034668,0.001514923293,782.034668,0.0008107541362,782.034668,0.008253945969,782.034668,0.005622665863,782.034668,0.005292089656,782.034668,0.005189463496,782.034668,0.007048245519,782.034668,0.009698420763,782.034668,0.01664757729,782.034668,0.0191994831,782.034668,0.0235529542,782.034668,0.02507385425,782.034668,0.03379157931,782.034668,0.03801483661,782.034668,0.0486911498,782.034668,0.04574752226,782.034668,0.05397775769,
