BLANK,,BM3,,dmso_1,,dmso_2,,4PhenylImidazole_0.1,,4PhenylImidazole_0.2,,4PhenylImidazole_0.3,,4PhenylImidazole_0.4,,4PhenylImidazole_0.5,,4PhenylImidazole_0.6,,4PhenylImidazole_0.7,,4PhenylImidazole_0.8,,4PhenylImidazole_0.9,,4PhenylImidazole_1.0,,4PhenylImidazole_2.0,,4PhenylImidazole_3.0,,4PhenylImidazole_4.0,,4PhenylImidazole_5.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,0.001041760785,790.9775391,0.003353289561,790.9775391,0.00617554225,790.9775391,0.001887871069,790.9775391,-0.0003289378365,790.9775391,-0.0001558573276,790.9775391,0.01032153424,790.9775391,0.006269708741,790.9775391,0.00873149652,790.9775391,0.01090078708,790.9775391,0.01005989406,790.9775391,0.006355280057,790.9775391,0.006956934929,790.9775391,0.007812208496,790.9775391,0.006841212511,790.9775391,0.009976794943,790.9775391,0.01368021127,790.9775391,0.008535883389,
790.0009155,0.0003746538714,790.0009155,-0.002288440475,790.0009155,0.001704332768,790.0009155,-6.766065053E-5,790.0009155,0.0004035684979,790.0009155,0.005471541081,790.0009155,0.009051829576,790.0009155,0.003734686878,790.0009155,0.005898254924,790.0009155,0.00861868076,790.0009155,0.005732974969,790.0009155,0.004013573751,790.0009155,0.004377639852,790.0009155,0.001232365728,790.0009155,0.008690348826,790.0009155,0.009231492877,790.0009155,0.008744306862,790.0009155,0.0101027349,
789.0239258,-0.00184980093,789.0239258,-0.0004815743014,789.0239258,-0.005490200128,789.0239258,-0.0004976055352,789.0239258,-0.0003009495267,789.0239258,-0.001615537447,789.0239258,0.005724083167,789.0239258,0.003201622516,789.0239258,0.002835101448,789.0239258,0.006965036504,789.0239258,0.004975799937,789.0239258,0.003911954351,789.0239258,0.003537291428,789.0239258,0.004895107355,789.0239258,0.005652063061,789.0239258,0.008186147548,789.0239258,0.004236226901,789.0239258,0.005758129992,
788.0465698,0.0003131518897,788.0465698,-0.0019783522,788.0465698,0.003403796349,788.0465698,0.0003093439154,788.0465698,-0.0003863573656,788.0465698,0.0001751538948,788.0465698,0.004985383246,788.0465698,0.005455812905,788.0465698,0.006166247185,788.0465698,0.009414220229,788.0465698,0.00655821804,788.0465698,0.004567020107,788.0465698,0.004690406844,788.0465698,0.006132614333,788.0465698,0.006466143299,788.0465698,0.001797508798,788.0465698,0.006884157658,788.0465698,0.009078314528,
787.0688477,0.002592592267,787.0688477,-0.0001372257248,787.0688477,0.002937928541,787.0688477,0.002946998226,787.0688477,0.007930034772,787.0688477,0.002252318198,787.0688477,0.008372261189,787.0688477,0.008817686699,787.0688477,0.01192350686,787.0688477,0.009963842109,787.0688477,0.009773815051,787.0688477,0.006199357565,787.0688477,0.007679975126,787.0688477,0.006594117731,787.0688477,0.006821437739,787.0688477,0.007199709304,787.0688477,0.01464599278,787.0688477,0.007467058022,
785.9509888,-0.0009613754228,785.9509888,-0.002457739087,785.9509888,0.004936184734,785.9509888,-0.000412685069,785.9509888,0.002610274591,785.9509888,0.004860499408,785.9509888,0.003390490776,785.9509888,0.003376402892,785.9509888,0.01163034886,785.9509888,0.006888655014,785.9509888,0.002289659344,785.9509888,0.00487447856,785.9509888,0.00861540623,785.9509888,0.002698696218,785.9509888,0.006920636632,785.9509888,0.003351280931,785.9509888,0.005633889697,785.9509888,0.009034068324,
784.9724731,-0.003379843431,784.9724731,-0.004180178512,784.9724731,0.004971400835,784.9724731,-0.0001128481599,784.9724731,0.001169859781,784.9724731,0.002213575412,784.9724731,0.004321790766,784.9724731,0.003056186484,784.9724731,0.01131942775,784.9724731,0.009417526424,784.9724731,0.004117778037,784.9724731,0.002860063221,784.9724731,0.003509863513,784.9724731,0.005474870093,784.9724731,0.006065173075,784.9724731,0.004531758372,784.9724731,0.008713299409,784.9724731,0.003816887503,
783.9935303,0.0006973062409,783.9935303,-0.001241217018,783.9935303,0.006607443094,783.9935303,-0.0008830039878,783.9935303,0.003657435533,783.9935303,0.004589282908,783.9935303,0.007173733786,783.9935303,0.004583893809,783.9935303,0.01956987567,783.9935303,0.01069793291,783.9935303,0.008670832962,783.9935303,0.004929901101,783.9935303,0.006505635567,783.9935303,0.009275177494,783.9935303,0.007568142843,783.9935303,0.007020411082,783.9935303,0.007955766283,783.9935303,0.01130667422,
783.0142822,-0.002089863177,783.0142822,0.002338845283,783.0142822,0.0008357036859,783.0142822,-0.001896504429,783.0142822,-0.001271364512,783.0142822,1.796523429E-5,783.0142822,0.004634098615,783.0142822,0.0008248885861,783.0142822,0.01243795641,783.0142822,0.005209452473,783.0142822,0.002644989872,783.0142822,0.003860056866,783.0142822,0.003492927644,783.0142822,0.004700428806,783.0142822,0.00323455967,783.0142822,-0.003742317203,783.0142822,0.002621967578,783.0142822,0.009777600877,
782.034668,-0.005083439872,782.034668,-0.005002942868,782.034668,-0.002632683609,782.034668,-0.0005743920337,782.034668,-0.005723507144,782.034668,-0.002753492678,782.034668,0.0003431763907,782.034668,-0.003191426629,782.034668,0.0092389239,782.034668,0.007763057481,782.034668,0.001347433659,782.034668,-0.0004341494641,782.034668,-0.000220181988,782.034668,0.001613385044,782.034668,-0.000144833728,782.034668,-0.004842774011,782.034668,0.004063634668,782.034668,0.006585260853,
