baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_acid_0.5,,Arachadonic_acid_1.0,,Arachadonic_acid_1.5,,Arachadonic_acid_2.0,,Arachadonic_acid_2.5,,Arachadonic_acid_3.0,,Arachadonic_acid_3.5,,Arachadonic_acid_4.0,,Arachadonic_acid_5.0,,Arachadonic_acid_6.0,,Arachadonic_acid_7.0,,Arachadonic_acid_8.0,,Arachadonic_acid_9.0,,Arachadonic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,0.0004670008784,790.9775391,0.002528327983,790.9775391,0.004447408952,790.9775391,0.004843065981,790.9775391,0.005668427795,790.9775391,0.009296915494,790.9775391,0.00906166248,790.9775391,0.01179818157,790.9775391,0.02968213521,790.9775391,0.01118960138,790.9775391,0.01723377407,790.9775391,0.008513972163,790.9775391,0.007317369804,790.9775391,0.03438413516,790.9775391,0.02078588493,790.9775391,0.02552763745,790.9775391,0.04537280649,790.9775391,0.0208621975,
790.0009155,0.00156934734,790.0009155,0.004466814455,790.0009155,0.005296020303,790.0009155,0.005171020981,790.0009155,0.005385410041,790.0009155,0.007070556283,790.0009155,0.006620269269,790.0009155,0.009905152023,790.0009155,0.02925494872,790.0009155,0.01388604101,790.0009155,0.01415965147,790.0009155,0.01135609485,790.0009155,0.01153642219,790.0009155,0.03533441946,790.0009155,0.02452883311,790.0009155,0.02839108557,790.0009155,0.04752169922,790.0009155,0.02148022316,
789.0239258,-0.001730390359,789.0239258,0.002631785814,789.0239258,0.002642645966,789.0239258,0.005217469297,789.0239258,0.004850055091,789.0239258,0.00234342576,789.0239258,0.005316433497,789.0239258,0.009616502561,789.0239258,0.02751282975,789.0239258,0.01421999,789.0239258,0.01131119113,789.0239258,0.01173174288,789.0239258,0.01267328672,789.0239258,0.03042436577,789.0239258,0.0165218506,789.0239258,0.02134311013,789.0239258,0.04197556898,789.0239258,0.02018107474,
788.0465698,0.002682989929,788.0465698,0.003791557159,788.0465698,0.008284313604,788.0465698,0.009873797186,788.0465698,0.007686377503,788.0465698,0.0101062851,788.0465698,0.01204900164,788.0465698,0.01172304712,788.0465698,0.03412067145,788.0465698,0.01516778022,788.0465698,0.01219063904,788.0465698,0.01551867835,788.0465698,0.01430987101,788.0465698,0.03246232867,788.0465698,0.02205405571,788.0465698,0.02910099365,788.0465698,0.04944976419,788.0465698,0.02462303825,
787.0688477,-0.002499178285,787.0688477,0.0004327700881,787.0688477,0.002715809504,787.0688477,0.001731646713,787.0688477,0.002115029376,787.0688477,0.003375307191,787.0688477,-0.0003083477204,787.0688477,0.01112755854,787.0688477,0.02761240117,787.0688477,0.01007027924,787.0688477,0.01091634203,787.0688477,0.008514763787,787.0688477,0.01049002819,787.0688477,0.03351421282,787.0688477,0.02623199672,787.0688477,0.02428827807,787.0688477,0.0453084968,787.0688477,0.01951647922,
785.9509888,-0.0004638875835,785.9509888,0.00407359004,785.9509888,0.004236775916,785.9509888,0.006342960987,785.9509888,0.006693080999,785.9509888,0.008147663437,785.9509888,0.008871685714,785.9509888,0.01321608387,785.9509888,0.03359422088,785.9509888,0.01213532034,785.9509888,0.01250879187,785.9509888,0.01268954482,785.9509888,0.01135774236,785.9509888,0.03390463442,785.9509888,0.02392636798,785.9509888,0.02490020916,785.9509888,0.04589771107,785.9509888,0.02335899137,
784.9724731,2.821662201E-5,784.9724731,0.007109840401,784.9724731,0.004371651914,784.9724731,0.007366364822,784.9724731,0.006678175647,784.9724731,0.008627473377,784.9724731,0.006349527743,784.9724731,0.01162875351,784.9724731,0.02904976159,784.9724731,0.02680752054,784.9724731,0.01358597353,784.9724731,0.01205403171,784.9724731,0.012388492,784.9724731,0.03382098675,784.9724731,0.02404353395,784.9724731,0.02516919188,784.9724731,0.04801547155,784.9724731,0.01992199384,
783.9935303,0.001187977265,783.9935303,0.00144297455,783.9935303,0.005688648671,783.9935303,0.008423329331,783.9935303,0.009723436087,783.9935303,0.006180032156,783.9935303,0.01095762197,783.9935303,0.01024342049,783.9935303,0.0309662763,783.9935303,0.01312957704,783.9935303,0.01552546583,783.9935303,0.009856743738,783.9935303,0.0145032052,783.9935303,0.02781823464,783.9935303,0.02504283749,783.9935303,0.02752057835,783.9935303,0.04411888123,783.9935303,0.02182346769,
783.0142822,0.0005521101994,783.0142822,0.007109787781,783.0142822,0.004289346281,783.0142822,0.01041785069,783.0142822,0.005102890544,783.0142822,0.00622107368,783.0142822,0.007218448911,783.0142822,0.01171687711,783.0142822,0.03352271393,783.0142822,0.01168696024,783.0142822,0.01310380455,783.0142822,0.01070514973,783.0142822,0.007536640391,783.0142822,0.03810802475,783.0142822,0.0245290529,783.0142822,0.02892188542,783.0142822,0.04817246273,783.0142822,0.02433785796,
782.034668,-0.0001006847451,782.034668,0.003639789065,782.034668,0.005037965719,782.034668,0.009044666775,782.034668,0.002997222822,782.034668,0.006916217972,782.034668,0.007998320274,782.034668,0.01377984043,782.034668,0.03212197497,782.034668,0.0126198791,782.034668,0.0129709905,782.034668,0.01272752788,782.034668,0.01021140534,782.034668,0.03464080766,782.034668,0.02166271023,782.034668,0.02828420699,782.034668,0.04738841578,782.034668,0.02441033348,
