baseline,,bm3,,dmso_1.0.,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,0.001113227918,790.9775391,0.0009584752843,790.9775391,0.0001917797053,790.9775391,0.00345848361,790.9775391,0.003971120808,790.9775391,0.004336850718,790.9775391,0.004141742364,790.9775391,0.004588340875,790.9775391,0.00995406881,790.9775391,0.003643443575,790.9775391,0.03333570808,790.9775391,0.01351544168,790.9775391,0.007327689789,790.9775391,0.008328113705,790.9775391,0.0182825774,790.9775391,0.01129474491,790.9775391,0.02705685794,790.9775391,0.03599848971,
790.0009155,-0.002016693819,790.0009155,-0.0001964300754,790.0009155,-0.0007378477603,790.0009155,-0.00244785496,790.0009155,-0.0003847021435,790.0009155,-0.0003904954356,790.0009155,0.001418457599,790.0009155,-0.0002838762884,790.0009155,0.001347381738,790.0009155,0.008100926876,790.0009155,0.0271849297,790.0009155,0.01534100808,790.0009155,0.004770511296,790.0009155,0.006743898615,790.0009155,0.01314366516,790.0009155,0.0112047689,790.0009155,0.02352786623,790.0009155,0.0366339162,
789.0239258,-0.001624563825,789.0239258,-0.0008619234432,789.0239258,0.0002426192805,789.0239258,0.002679265337,789.0239258,0.004426513799,789.0239258,0.002799641341,789.0239258,0.00178575993,789.0239258,0.004001712892,789.0239258,0.002573374426,789.0239258,0.006363554392,789.0239258,0.03485434875,789.0239258,0.01466069184,789.0239258,0.003675396089,789.0239258,0.008341466077,789.0239258,0.01109160017,789.0239258,0.008791851811,789.0239258,0.02709162794,789.0239258,0.03304195777,
788.0465698,0.0002760321368,788.0465698,-0.0006119271857,788.0465698,0.001167445909,788.0465698,0.006685562432,788.0465698,0.001656050095,788.0465698,0.003452403937,788.0465698,0.004282235634,788.0465698,0.003338211915,788.0465698,0.006473972928,788.0465698,0.01061890274,788.0465698,0.03279613703,788.0465698,0.01742803678,788.0465698,0.01170166582,788.0465698,0.009162273258,788.0465698,0.01147945877,788.0465698,0.01023464743,788.0465698,0.02417320944,788.0465698,0.03919244558,
787.0688477,-0.004549311474,787.0688477,-0.00303012575,787.0688477,-0.001670878963,787.0688477,0.0004831455008,787.0688477,0.0008435104392,787.0688477,-0.003507069778,787.0688477,-0.000605774927,787.0688477,0.001453103847,787.0688477,0.003631697036,787.0688477,0.008304023184,787.0688477,0.03150229529,787.0688477,0.009900332429,787.0688477,0.002082723193,787.0688477,0.007478935178,787.0688477,0.01275319885,787.0688477,0.01036758162,787.0688477,0.01450687181,787.0688477,0.03116689436,
785.9509888,0.001480168197,785.9509888,0.005228498951,785.9509888,0.003342307406,785.9509888,0.004274628125,785.9509888,0.005382002797,785.9509888,0.005596941337,785.9509888,0.007377765607,785.9509888,0.005617368501,785.9509888,0.006825171877,785.9509888,0.0109876208,785.9509888,0.036456462,785.9509888,0.01751893573,785.9509888,0.009163171984,785.9509888,0.01159432344,785.9509888,0.01678918861,785.9509888,0.01107797772,785.9509888,0.02310898155,785.9509888,0.037031468,
784.9724731,-0.001750345924,784.9724731,1.050983064E-5,784.9724731,-0.004327008035,784.9724731,-0.00164096558,784.9724731,0.001689416007,784.9724731,0.001922424766,784.9724731,0.00257892115,784.9724731,0.0007191118784,784.9724731,0.003625562647,784.9724731,0.002259786241,784.9724731,0.0325925909,784.9724731,0.01134187914,784.9724731,0.00376604544,784.9724731,0.007533980068,784.9724731,0.008910709992,784.9724731,0.01654242165,784.9724731,0.0241338294,784.9724731,0.03634617478,
783.9935303,-0.00347764208,783.9935303,0.002264834242,783.9935303,3.652663872E-5,783.9935303,0.0007457934553,783.9935303,-0.004512473941,783.9935303,0.004355545156,783.9935303,0.003333646804,783.9935303,0.003965791781,783.9935303,0.0016584408,783.9935303,0.008362603374,783.9935303,0.03274494037,783.9935303,0.01622256264,783.9935303,0.009574741125,783.9935303,0.01060847752,783.9935303,0.01119977515,783.9935303,0.01086272486,783.9935303,0.02019108087,783.9935303,0.03738895431,
783.0142822,0.001099758781,783.0142822,0.004829428159,783.0142822,0.004983131308,783.0142822,0.004912097938,783.0142822,0.004111427814,783.0142822,0.004570866004,783.0142822,0.007449624594,783.0142822,0.007828311995,783.0142822,0.006210858934,783.0142822,0.008901172318,783.0142822,0.03367304057,783.0142822,0.01725050062,783.0142822,0.005205181893,783.0142822,0.01272089127,783.0142822,0.01364738122,783.0142822,0.01875256002,783.0142822,0.03012622334,783.0142822,0.03741550073,
782.034668,0.001468376024,782.034668,0.00141251029,782.034668,0.0004303084861,782.034668,0.004353714641,782.034668,0.001270190463,782.034668,0.002835101448,782.034668,0.006712771021,782.034668,0.00708526466,782.034668,0.003387412289,782.034668,0.01036159042,782.034668,0.03423101082,782.034668,0.01659206487,782.034668,0.008766308427,782.034668,0.007475485094,782.034668,0.01073399093,782.034668,0.01505553164,782.034668,0.02495287359,782.034668,0.0381850414,
781.0546265,-0.002683316357,781.0546265,-0.001003216021,781.0546265,0.002475215588,781.0546265,-0.002655016258,781.0546265,0.002602045191,781.0546265,-0.001422741334,781.0546265,-0.005540756509,781.0546265,0.001434819424,781.0546265,0.005650856532,781.0546265,0.003625902114,781.0546265,0.03025201149,781.0546265,0.005497625098,781.0546265,0.005489576608,781.0546265,0.007762662135,781.0546265,0.01018304937,781.0546265,0.009400649928,781.0546265,0.02117992006,781.0546265,0.0294799041,
779.9342041,0.0008736235322,779.9342041,0.0005417686771,779.9342041,0.002423931845,779.9342041,0.002302098321,779.9342041,0.001351692132,779.9342041,0.002859229455,779.9342041,0.006115103606,779.9342041,0.006117229816,779.9342041,0.002863294445,779.9342041,0.0119001735,779.9342041,0.03148506582,779.9342041,0.01580472849,779.9342041,0.009598055854,779.9342041,0.01018800493,779.9342041,0.011703128,779.9342041,0.0126348557,779.9342041,0.02860027552,779.9342041,0.03981460631,
778.9533691,-0.001012358349,778.9533691,0.001028501545,778.9533691,0.0005721718771,778.9533691,0.008947809227,778.9533691,0.000844288501,778.9533691,0.00188321725,778.9533691,0.003414623672,778.9533691,0.004170856439,778.9533691,0.003680617316,778.9533691,0.005072220694,778.9533691,0.0291324947,778.9533691,0.01192071382,778.9533691,0.01285082847,778.9533691,0.01115329377,778.9533691,0.008870813996,778.9533691,0.006881554145,778.9533691,0.02111075446,778.9533691,0.03577651456,
777.972229,0.001973857405,777.972229,0.00175093126,777.972229,0.003378620371,777.972229,0.004566052463,777.972229,-0.00368862506,777.972229,0.004088719841,777.972229,0.01342150662,777.972229,0.002682599239,777.972229,0.006275197491,777.972229,0.00830676686,777.972229,0.03087632917,777.972229,0.01769272611,777.972229,0.009197674692,777.972229,0.01182712242,777.972229,0.01056717895,777.972229,0.01324717421,777.972229,0.02510004491,777.972229,0.03857434168,
776.9906616,0.002689527581,776.9906616,0.0003278659715,776.9906616,0.0021068356,776.9906616,0.0001797634759,776.9906616,0.002846696181,776.9906616,0.00514558563,776.9906616,0.005038436968,776.9906616,0.004841050133,776.9906616,0.009565426968,776.9906616,0.008733160794,776.9906616,0.03215520084,776.9906616,0.01487448718,776.9906616,0.006790778134,776.9906616,0.01117419638,776.9906616,0.009909415618,776.9906616,0.01646931097,776.9906616,0.02681209147,776.9906616,0.03520420566,
776.0087891,-0.0002838762884,776.0087891,0.001444091322,776.0087891,0.001849628519,776.0087891,0.002351233736,776.0087891,0.00843475759,776.0087891,0.003782757092,776.0087891,0.002264990471,776.0087891,0.003576022107,776.0087891,0.004781844094,776.0087891,0.006575983483,776.0087891,0.03079351224,776.0087891,0.008803791367,776.0087891,0.009827828035,776.0087891,0.01151178032,776.0087891,0.01205310039,776.0087891,0.01203388534,776.0087891,0.02873289585,776.0087891,0.03732440621,
775.0264893,-0.0002401553793,775.0264893,0.0008976947283,775.0264893,0.002654860727,775.0264893,0.003041379619,775.0264893,0.004495610483,775.0264893,0.006679464132,775.0264893,0.00617554225,775.0264893,0.0007627004525,775.0264893,0.00451619504,775.0264893,0.01210489497,775.0264893,0.03493841738,775.0264893,0.01170004345,775.0264893,0.01319991238,775.0264893,0.009847157635,775.0264893,0.01084491611,775.0264893,0.01598575898,775.0264893,0.02637701668,775.0264893,0.03832636029,
774.0438843,-0.001337846741,774.0438843,-0.001447716262,774.0438843,0.0002516068344,774.0438843,0.002383559709,774.0438843,0.001421288354,774.0438843,0.001141231391,774.0438843,-0.00132829824,774.0438843,0.003050112631,774.0438843,0.002945408225,774.0438843,0.006875347346,774.0438843,0.0271314159,774.0438843,0.008457298391,774.0438843,0.006726599298,774.0438843,0.007806251757,774.0438843,0.00950065162,774.0438843,0.01043039188,774.0438843,0.01999874972,774.0438843,0.03434550017,
773.0608521,0.001661766903,773.0608521,0.002587514464,773.0608521,0.003605751088,773.0608521,0.001781601226,773.0608521,0.006027453579,773.0608521,0.003838954726,773.0608521,0.004084564745,773.0608521,0.006665768567,773.0608521,0.005634964444,773.0608521,0.01038484089,773.0608521,0.03198973835,773.0608521,0.01444721594,773.0608521,0.005586505402,773.0608521,0.01131265238,773.0608521,0.01324194297,773.0608521,0.01869404688,773.0608521,0.02591610886,773.0608521,0.03631411865,
