kpi+DMSO,,kpi+DMSO+Triton,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
X Stop nm Changed: 02/12/2019 11:25:45, Old:  200.0, New:  900.0
Common Interval nm Changed: 02/12/2019 11:25:45, Old:     5.00, New:     1.00
Storage Changed: 02/12/2019 11:25:45, Old:1, New:0
End Method Modifications
<Current Wavelength> , 920.0

kpi+DMSO+Triton,
kpi+DMSO+Triton
Collection Time: 02/12/2019 11:34:01
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        1000.0
Stop (nm)                         900.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         4800.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 02/12/2019 11:25:07
Method Modifications:
X Start nm Changed: 02/12/2019 11:25:45, Old:  800.0, New: 1000.0
X Stop nm Changed: 02/12/2019 11:25:45, Old:  200.0, New:  900.0
Common Interval nm Changed: 02/12/2019 11:25:45, Old:     5.00, New:     1.00
Storage Changed: 02/12/2019 11:25:45, Old:1, New:0
End Method Modifications
<Current Wavelength> , 920.0

