baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_4.5,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,-0.000889720628,790.9775391,0.007392273284,790.9775391,0.009875412099,790.9775391,0.009113339707,790.9775391,0.01515539642,790.9775391,0.01011192892,790.9775391,0.01201038621,790.9775391,0.01427402347,790.9775391,0.01696018502,790.9775391,0.02051431127,790.9775391,0.01055168919,790.9775391,0.01366025675,790.9775391,0.01648630388,790.9775391,0.01495207194,790.9775391,0.02021255903,790.9775391,0.0191248972,790.9775391,0.01805587113,790.9775391,0.0234737359,790.9775391,0.02581829764,
790.0009155,0.001894474728,790.0009155,0.007027803455,790.0009155,0.007262299769,790.0009155,0.008764222264,790.0009155,0.009174779058,790.0009155,0.0101641817,790.0009155,0.01099011675,790.0009155,0.009572253563,790.0009155,0.01854481548,790.0009155,0.01736358739,790.0009155,0.01408902649,790.0009155,0.01166419778,790.0009155,0.01434144098,790.0009155,0.01302078739,790.0009155,0.02672616392,790.0009155,0.01922056079,790.0009155,0.01607619412,790.0009155,0.02301171981,790.0009155,0.02463125624,
789.0239258,-0.002194185741,789.0239258,0.002669029171,789.0239258,0.007424344774,789.0239258,0.006501615047,789.0239258,0.01169897988,789.0239258,0.005907858722,789.0239258,0.01051002461,789.0239258,0.01069360878,789.0239258,0.01512569655,789.0239258,0.01691136137,789.0239258,0.01455540024,789.0239258,0.01224663015,789.0239258,0.009732568637,789.0239258,0.01770965941,789.0239258,0.01986649446,789.0239258,0.01896380819,789.0239258,0.01764028892,789.0239258,0.01897132583,789.0239258,0.02072468214,
788.0465698,0.001645110664,788.0465698,0.005040794145,788.0465698,0.008780070581,788.0465698,0.008150696754,788.0465698,0.009335317649,788.0465698,0.01016195584,788.0465698,0.01028953958,788.0465698,0.009525814094,788.0465698,0.0156086944,788.0465698,0.01810323261,788.0465698,0.01307659317,788.0465698,0.01287245285,788.0465698,0.0122129228,788.0465698,0.01590197347,788.0465698,0.02234556153,788.0465698,0.01095302869,788.0465698,0.02096726373,788.0465698,0.01320154034,788.0465698,0.02167552523,
787.0688477,-0.001597071532,787.0688477,0.002255232539,787.0688477,0.006986843422,787.0688477,0.008154732175,787.0688477,0.01168480609,787.0688477,0.009896676987,787.0688477,0.008930792101,787.0688477,0.01314710639,787.0688477,0.01404680684,787.0688477,0.01588427834,787.0688477,0.01432790235,787.0688477,0.01055240538,787.0688477,0.01496102102,787.0688477,0.01307664625,787.0688477,0.01597343199,787.0688477,0.02141144499,787.0688477,0.01578964293,787.0688477,0.02227956057,787.0688477,0.01706862077,
785.9509888,-0.00487902062,785.9509888,0.004774934612,785.9509888,0.005855197553,785.9509888,0.009253651835,785.9509888,0.009541346692,785.9509888,0.009501948021,785.9509888,0.006987422239,785.9509888,0.01125085726,785.9509888,0.01410314534,785.9509888,0.01719625667,785.9509888,0.01050174981,785.9509888,0.01326121204,785.9509888,0.01180257089,785.9509888,0.01002360042,785.9509888,0.01574902795,785.9509888,0.02066245675,785.9509888,0.0155503368,785.9509888,0.01860176772,785.9509888,0.02247323282,
784.9724731,0.0002452870249,784.9724731,0.006262197625,784.9724731,0.007907205261,784.9724731,0.007995525375,784.9724731,0.01106138155,784.9724731,0.009405913763,784.9724731,0.01249211468,784.9724731,0.01380266063,784.9724731,0.01307963394,784.9724731,0.01603461243,784.9724731,0.011831671,784.9724731,0.01259109844,784.9724731,0.009982728399,784.9724731,0.01713448018,784.9724731,0.02340384759,784.9724731,0.01873288304,784.9724731,0.01662385464,784.9724731,0.02516743727,784.9724731,0.0216673892,
783.9935303,0.002403341932,783.9935303,0.004322496708,783.9935303,0.005861861631,783.9935303,0.009594139643,783.9935303,0.01078066602,783.9935303,0.007866135798,783.9935303,0.01421921421,783.9935303,0.01138575003,783.9935303,0.01762281917,783.9935303,0.01806264557,783.9935303,0.0137968082,783.9935303,0.008887934498,783.9935303,0.0168607384,783.9935303,0.01594203711,783.9935303,0.02330553718,783.9935303,0.01799346134,783.9935303,0.01532644685,783.9935303,0.02140320465,783.9935303,0.01650329679,
783.0142822,-6.947237853E-5,783.0142822,0.005028695334,783.0142822,0.008056516759,783.0142822,0.006997707766,783.0142822,0.01116420981,783.0142822,0.005194336176,783.0142822,0.008675111458,783.0142822,0.01183962449,783.0142822,0.01395890489,783.0142822,0.01510889176,783.0142822,0.01371601038,783.0142822,0.01062097214,783.0142822,0.008177943528,783.0142822,0.01219625678,783.0142822,0.02321090735,783.0142822,0.02055032551,783.0142822,0.01730429195,783.0142822,0.02085432224,783.0142822,0.01926696673,
782.034668,-0.0004224605509,782.034668,0.007639691234,782.034668,0.005831925664,782.034668,0.0103316335,782.034668,0.01258989889,782.034668,0.0117460778,782.034668,0.01203697175,782.034668,0.01277980302,782.034668,0.01840589941,782.034668,0.02092803828,782.034668,0.01578805782,782.034668,0.01464872435,782.034668,0.01296440326,782.034668,0.01403068472,782.034668,0.02322163992,782.034668,0.0210917592,782.034668,0.01795808971,782.034668,0.01981856115,782.034668,0.01835699193,
