baseline,,bm3,,dmso_1.0,,dmso_2.0,,ArachadionicAcid_0.5,,ArachadionicAcid_1.0,,ArachadionicAcid_1.5,,ArachadionicAcid_2.0,,ArachadionicAcid_2.5,,ArachadionicAcid_3.0,,ArachadionicAcid_3.5,,ArachadionicAcid_4.0,,ArachadionicAcid_5.0,,ArachadionicAcid_6.0,,ArachadionicAcid_7.0,,ArachadionicAcid_7.0,,ArachadionicAcid_8.0,,ArachadionicAcid_9.0,,ArachadionicAcid_10.0,,ArachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9775391,0.001140634529,790.9775391,-8.463886479E-5,790.9775391,0.001957969274,790.9775391,0.001280731056,790.9775391,0.005487164948,790.9775391,0.003312335582,790.9775391,0.006240400951,790.9775391,0.002302384702,790.9775391,0.0009314693161,790.9775391,0.005166489165,790.9775391,0.009475172497,790.9775391,0.01010829862,790.9775391,0.01658310927,790.9775391,0.02451292053,790.9775391,0.02063408867,790.9775391,0.0480110459,790.9775391,0.01802238449,790.9775391,0.01908908226,790.9775391,0.08890595287,790.9775391,0.01157706883,
790.0009155,-0.001317717368,790.0009155,-0.0006506997161,790.0009155,0.001737182494,790.0009155,0.002165314276,790.0009155,0.0009531569667,790.0009155,0.002528197831,790.0009155,0.004562024027,790.0009155,0.003772521159,790.0009155,0.005022174679,790.0009155,0.006062915549,790.0009155,0.004316535778,790.0009155,0.005608610343,790.0009155,0.01577431522,790.0009155,0.02325342596,790.0009155,0.01507989224,790.0009155,0.05019044131,790.0009155,0.01971642673,790.0009155,0.01729332842,790.0009155,0.09910780936,790.0009155,0.01446482539,
789.0239258,0.001107829856,789.0239258,0.0002272346901,789.0239258,0.001675851061,789.0239258,0.002557438565,789.0239258,0.001729411655,789.0239258,0.004613796249,789.0239258,0.006428099703,789.0239258,0.003259779187,789.0239258,0.0008070714539,789.0239258,0.005407163873,789.0239258,0.007611475885,789.0239258,0.0123733636,789.0239258,0.01791670546,789.0239258,0.02470172755,789.0239258,0.02387853153,789.0239258,0.04814232513,789.0239258,0.01126158983,789.0239258,0.0228738226,789.0239258,0.1008553579,789.0239258,0.00991338864,
788.0465698,-0.0006430488429,788.0465698,-0.00158871524,788.0465698,0.001519573154,788.0465698,0.0005672989646,788.0465698,0.002600586973,788.0465698,0.001804527012,788.0465698,0.0003763638088,788.0465698,0.004413464107,788.0465698,0.005032754038,788.0465698,0.008483693935,788.0465698,0.006509445608,788.0465698,0.006308815442,788.0465698,0.016962016,788.0465698,0.02079177834,788.0465698,0.02264525555,788.0465698,0.04715777189,788.0465698,0.01391918398,788.0465698,0.02633168735,788.0465698,0.09532831609,788.0465698,0.01409672759,
787.0688477,-0.0004150125897,787.0688477,0.00149801292,787.0688477,0.0001789606758,787.0688477,0.003029753454,787.0688477,0.005511466879,787.0688477,0.00232453132,787.0688477,0.006131932139,787.0688477,0.002991149668,787.0688477,0.003435209394,787.0688477,0.005526777823,787.0688477,0.005940556061,787.0688477,0.004516221117,787.0688477,0.01559458114,787.0688477,0.02779036202,787.0688477,0.01958682761,787.0688477,0.04647937045,787.0688477,0.01596322656,787.0688477,0.01696182787,787.0688477,0.09759176522,787.0688477,0.01028036792,
785.9509888,-0.001015095855,785.9509888,-0.002747267717,785.9509888,0.00146925915,785.9509888,0.001641602837,785.9509888,0.003581137629,785.9509888,0.001011558226,785.9509888,0.003322351957,785.9509888,0.004079077393,785.9509888,0.002477636794,785.9509888,0.005058838055,785.9509888,0.006413466763,785.9509888,0.007561952807,785.9509888,0.0137705151,785.9509888,0.02669825032,785.9509888,0.01968115941,785.9509888,0.04614380747,785.9509888,0.006218605209,785.9509888,0.01989307813,785.9509888,0.09384600818,785.9509888,0.01064163633,
784.9724731,0.0006916281418,784.9724731,0.0007427855744,784.9724731,-0.001029454637,784.9724731,0.002173352987,784.9724731,0.004353348631,784.9724731,0.004214348737,784.9724731,0.003724399721,784.9724731,0.006205817219,784.9724731,0.006011154037,784.9724731,0.007736626547,784.9724731,0.009717770852,784.9724731,0.007014807314,784.9724731,0.01737549528,784.9724731,0.02654093318,784.9724731,0.02086238749,784.9724731,0.05038566515,784.9724731,0.01492996886,784.9724731,0.01760289818,784.9724731,0.09583409876,784.9724731,0.01392557193,
783.9935303,-0.001843769336,783.9935303,-0.001523561194,783.9935303,0.0006767202285,783.9935303,0.0006437950069,783.9935303,0.001814456773,783.9935303,0.003779388731,783.9935303,0.006958802231,783.9935303,0.00501968665,783.9935303,0.002938189078,783.9935303,0.004862646107,783.9935303,0.005603260826,783.9935303,0.004235207569,783.9935303,0.0162969213,783.9935303,0.01997245848,783.9935303,0.0237504486,783.9935303,0.04792478308,783.9935303,0.01250450313,783.9935303,0.02158119716,783.9935303,0.0946367681,783.9935303,0.01083621103,
783.0142822,-0.002686352003,783.0142822,-0.0001175063953,783.0142822,0.002374970354,783.0142822,0.005003503524,783.0142822,0.007415971253,783.0142822,0.003036322538,783.0142822,0.003990269732,783.0142822,0.007304128259,783.0142822,0.005661110859,783.0142822,0.008128778078,783.0142822,0.01340108272,783.0142822,0.007946986705,783.0142822,0.02015135624,783.0142822,0.02547633089,783.0142822,0.02126521803,783.0142822,0.05049559474,783.0142822,0.01042121742,783.0142822,0.02476513758,783.0142822,0.09737131,783.0142822,0.01437402982,
782.034668,-9.88832744E-6,782.034668,-0.0004108747526,782.034668,0.001663767733,782.034668,-0.001532744151,782.034668,0.003289016895,782.034668,0.002906473354,782.034668,0.0057341028,782.034668,0.002682364779,782.034668,0.005467163399,782.034668,0.004472202156,782.034668,0.008522709832,782.034668,0.007741896901,782.034668,0.01834592037,782.034668,0.02619990893,782.034668,0.01792110316,782.034668,0.04844123498,782.034668,0.01940109767,782.034668,0.02001390234,782.034668,0.09749574959,782.034668,0.007907494903,
