baseline,,bm3,,dmso_1,,dmso_2,,4-Phenylimidazole_0.1,,4-Phenylimidazole_0.2,,4-Phenylimidazole_0.3,,4-Phenylimidazole_0.4,,4-Phenylimidazole_0.5,,4-Phenylimidazole_0.6,,4-Phenylimidazole_0.7,,4-Phenylimidazole_0.8,,4-Phenylimidazole_0.9,,4-Phenylimidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
787.0688477,0.002120648045,787.0688477,0.003027068684,787.0688477,0.001074430766,787.0688477,0.004593651742,787.0688477,0.004006990232,787.0688477,0.006167009007,787.0688477,0.0058804648,787.0688477,0.007514015306,787.0688477,0.007625043392,787.0688477,0.02153451554,787.0688477,0.007475748658,787.0688477,0.002908427734,787.0688477,0.00615222659,787.0688477,0.00953994412,
785.9509888,-5.834305193E-5,785.9509888,0.002136854222,785.9509888,-0.0001654316002,785.9509888,0.005185822025,785.9509888,0.0027941179,785.9509888,0.003527896246,785.9509888,0.004478138871,785.9509888,0.004687842447,785.9509888,0.005125154275,785.9509888,0.02097723447,785.9509888,0.007403937634,785.9509888,0.006542450283,785.9509888,0.008899084292,785.9509888,0.01118022576,
784.9724731,0.00154791458,784.9724731,0.003494571662,784.9724731,-0.0009298632503,784.9724731,0.006678307429,784.9724731,0.0047621103,784.9724731,0.008571867831,784.9724731,0.00631228229,784.9724731,0.004375338554,784.9724731,0.005728515796,784.9724731,0.02580318972,784.9724731,0.008981581777,784.9724731,0.007438011467,784.9724731,0.008405935951,784.9724731,0.01135181729,
783.9935303,3.940023089E-5,783.9935303,-0.001034516259,783.9935303,0.00259449333,783.9935303,0.003604732919,783.9935303,0.002531426493,783.9935303,0.005343294237,783.9935303,0.007658001501,783.9935303,0.005514612887,783.9935303,0.005913159344,783.9935303,0.04103719816,783.9935303,0.004374162294,783.9935303,0.004157449119,783.9935303,0.007540222257,783.9935303,0.01009515673,
783.0142822,0.00421210099,783.0142822,0.004412026145,783.0142822,0.004435065202,783.0142822,0.00658754725,783.0142822,0.005906441715,783.0142822,0.004548133351,783.0142822,0.009329842404,783.0142822,0.009959393181,783.0142822,0.005977900699,783.0142822,0.05517694727,783.0142822,0.007067399099,783.0142822,0.008607220836,783.0142822,0.006906276103,783.0142822,0.01111765206,
782.034668,0.0002107629116,782.034668,0.002955207834,782.034668,0.001973805251,782.034668,0.004036800936,782.034668,0.002327342052,782.034668,0.006367652211,782.034668,0.006659328472,782.034668,0.008122554049,782.034668,0.004094547126,782.034668,0.05265970528,782.034668,0.007002179977,782.034668,0.007723082323,782.034668,0.009009093046,782.034668,0.01822148263,
781.0546265,-6.553832645E-5,781.0546265,-6.771241169E-5,781.0546265,0.0014086148,781.0546265,0.004402402788,781.0546265,0.002387750428,781.0546265,0.005191899836,781.0546265,0.006774818059,781.0546265,0.004339647945,781.0546265,0.005019031931,781.0546265,0.05525978282,781.0546265,0.00931569282,781.0546265,0.005009421613,781.0546265,0.007475037593,781.0546265,0.01203832962,
779.9342041,0.001081151888,779.9342041,0.002549236408,779.9342041,0.00175015151,779.9342041,0.003730692202,779.9342041,0.004961477127,779.9342041,0.009292578325,779.9342041,0.006869640667,779.9342041,0.007012124173,779.9342041,0.006751312874,779.9342041,0.06115519628,779.9342041,0.01098764781,779.9342041,0.006885393988,779.9342041,0.006759358104,779.9342041,0.01117589604,
778.9533691,7.240908599E-5,778.9533691,0.003506158013,778.9533691,0.002845054725,778.9533691,0.004758132156,778.9533691,0.004122612532,778.9533691,0.0001950427832,778.9533691,0.004581172951,778.9533691,0.007170970552,778.9533691,0.004569113255,778.9533691,0.04310131446,778.9533691,0.009160132147,778.9533691,0.007168417796,778.9533691,0.007250165101,778.9533691,0.01190903317,
777.972229,0.0001311840169,777.972229,0.0006307293661,777.972229,0.00272661983,777.972229,0.003128950484,777.972229,0.002649235073,777.972229,0.003236019984,777.972229,0.004612828139,777.972229,0.009536398575,777.972229,0.005277206656,777.972229,0.03343136609,777.972229,0.005835414864,777.972229,0.00452064164,777.972229,0.008555392735,777.972229,0.01122354902,
